token,tag
highlight,O
all,B_quantity
slab,B_built_obj
highlight all slab,sentence
pick,O
each,B_quantity
plates,B_built_obj
items,O
pick each plates items,sentence
find,O
61,B_quantity
railings,B_built_obj
find 61 railings,sentence
show,O
me,O
100,B_quantity
doorway,B_built_obj
objects,O
show me 100 doorway objects,sentence
for,O
61,B_quantity
staircases,B_built_obj
for 61 staircases,sentence
for,O
8,B_quantity
footings,B_built_obj
objects,O
for 8 footings objects,sentence
find,O
me,O
column,B_built_obj
find me column,sentence
choose,O
staircases,B_built_obj
objects,O
choose staircases objects,sentence
show,O
two,B_quantity
beam,B_built_obj
show two beam,sentence
find,O
5,B_quantity
beams,B_built_obj
instances,O
find 5 beams instances,sentence
give,O
ten,B_quantity
stairs,B_built_obj
give ten stairs,sentence
highlight,O
10,B_quantity
roofs,B_built_obj
elements,O
highlight 10 roofs elements,sentence
highlight,O
one,B_quantity
stair,B_built_obj
railings,I_built_obj
highlight one stair railings,sentence
give,O
13,B_quantity
beams,B_built_obj
instances,O
give 13 beams instances,sentence
show,O
me,O
30,B_quantity
coverings,B_built_obj
show me 30 coverings,sentence
mark,O
every,B_quantity
pile,B_built_obj
instances,O
mark every pile instances,sentence
select,O
2,B_quantity
plates,B_built_obj
select 2 plates,sentence
choose,O
8,B_quantity
doorway,B_built_obj
elements,O
choose 8 doorway elements,sentence
select,O
50,B_quantity
pile,B_built_obj
select 50 pile,sentence
select,O
100,B_quantity
curtain,B_built_obj
walls,I_built_obj
select 100 curtain walls,sentence
pick,O
every,B_quantity
doorways,B_built_obj
pick every doorways,sentence
give,O
me,O
railings,B_built_obj
give me railings,sentence
find,O
me,O
fourteen,B_quantity
coverings,B_built_obj
find me fourteen coverings,sentence
find,O
3,B_quantity
ramps,B_built_obj
instances,O
find 3 ramps instances,sentence
mark,O
20,B_quantity
structural,B_built_obj
member,I_built_obj
mark 20 structural member,sentence
find,O
me,O
1,B_quantity
footing,B_built_obj
find me 1 footing,sentence
mark,O
8,B_quantity
finishing,B_built_obj
mark 8 finishing,sentence
highlight,O
50,B_quantity
stairs,B_built_obj
objects,O
highlight 50 stairs objects,sentence
find,O
me,O
53,B_quantity
stair,B_built_obj
railing,I_built_obj
find me 53 stair railing,sentence
show,O
53,B_quantity
roofs,B_built_obj
elements,O
show 53 roofs elements,sentence
fifteen,B_quantity
column,B_built_obj
fifteen column,sentence
find,O
me,O
five,B_quantity
footings,B_built_obj
find me five footings,sentence
show,O
stairs,B_built_obj
cases,I_built_obj
show stairs cases,sentence
every,B_quantity
coverings,B_built_obj
every coverings,sentence
choose,O
pile,B_built_obj
objects,O
choose pile objects,sentence
highlight,O
45,B_quantity
doors,B_built_obj
highlight 45 doors,sentence
show,O
each,B_quantity
stair,B_built_obj
elements,O
show each stair elements,sentence
show,O
53,B_quantity
railings,B_built_obj
show 53 railings,sentence
50,B_quantity
slabs,B_built_obj
50 slabs,sentence
highlight,O
eleven,B_quantity
ramp,B_built_obj
highlight eleven ramp,sentence
show,O
eight,B_quantity
footing,B_built_obj
show eight footing,sentence
find,O
2,B_quantity
coverings,B_built_obj
items,O
find 2 coverings items,sentence
show,O
53,B_quantity
facade,B_built_obj
shading,I_built_obj
show 53 facade shading,sentence
pick,O
eight,B_quantity
roof,B_built_obj
items,O
pick eight roof items,sentence
select,O
2,B_quantity
finishing,B_built_obj
select 2 finishing,sentence
show,O
me,O
every,B_quantity
stair,B_built_obj
items,O
show me every stair items,sentence
show,O
me,O
each,B_quantity
footing,B_built_obj
show me each footing,sentence
show,O
me,O
30,B_quantity
slab,B_built_obj
show me 30 slab,sentence
choose,O
six,B_quantity
curtain,B_built_obj
wall,I_built_obj
choose six curtain wall,sentence
for,O
all,B_quantity
roofs,B_built_obj
objects,O
for all roofs objects,sentence
give,O
me,O
9,B_quantity
staircases,B_built_obj
give me 9 staircases,sentence
show,O
nine,B_quantity
elements,O
of,O
ramp,B_built_obj
flights,I_built_obj
show nine elements of ramp flights,sentence
give,O
nine,B_quantity
elements,O
of,O
plates,B_built_obj
give nine elements of plates,sentence
20,B_quantity
staircase,B_built_obj
20 staircase,sentence
find,O
me,O
8,B_quantity
elements,O
of,O
wall,B_built_obj
find me 8 elements of wall,sentence
all,B_quantity
wall,B_built_obj
all wall,sentence
give,O
me,O
nine,B_quantity
examples,O
of,O
pile,B_built_obj
give me nine examples of pile,sentence
show,O
me,O
53,B_quantity
items,O
of,O
stair,B_built_obj
flight,I_built_obj
show me 53 items of stair flight,sentence
find,O
five,B_quantity
facade,B_built_obj
shadings,I_built_obj
find five facade shadings,sentence
find,O
20,B_quantity
ramp,B_built_obj
flights,I_built_obj
find 20 ramp flights,sentence
highlight,O
every,B_quantity
elements,O
of,O
stair,B_built_obj
railings,I_built_obj
highlight every elements of stair railings,sentence
mark,O
12,B_quantity
elements,O
of,O
finishing,B_built_obj
mark 12 elements of finishing,sentence
for,O
thirteen,B_quantity
examples,O
of,O
ramp,B_built_obj
flights,I_built_obj
for thirteen examples of ramp flights,sentence
choose,O
57,B_quantity
coverings,B_built_obj
choose 57 coverings,sentence
find,O
me,O
stair,B_built_obj
flight,I_built_obj
find me stair flight,sentence
show,O
12,B_quantity
objects,O
of,O
roof,B_built_obj
show 12 objects of roof,sentence
for,O
fifteen,B_quantity
objects,O
of,O
staircase,B_built_obj
for fifteen objects of staircase,sentence
highlight,O
all,B_quantity
slab,B_built_obj
highlight all slab,sentence
pick,O
four,B_quantity
finishings,B_built_obj
pick four finishings,sentence
highlight,O
covering,B_built_obj
highlight covering,sentence
for,O
fourteen,B_quantity
shading,B_built_obj
elements,I_built_obj
for fourteen shading elements,sentence
mark,O
all,B_quantity
structural,B_built_obj
member,I_built_obj
mark all structural member,sentence
find,O
9,B_quantity
instances,O
of,O
covering,B_built_obj
find 9 instances of covering,sentence
three,B_quantity
items,O
of,O
railings,B_built_obj
three items of railings,sentence
for,O
100,B_quantity
elements,O
of,O
roofs,B_built_obj
for 100 elements of roofs,sentence
find,O
every,B_quantity
beams,B_built_obj
find every beams,sentence
mark,O
each,B_quantity
instances,O
of,O
structural,B_built_obj
members,I_built_obj
mark each instances of structural members,sentence
select,O
every,B_quantity
examples,O
of,O
member,B_built_obj
select every examples of member,sentence
find,O
9,B_quantity
items,O
of,O
curtain,B_built_obj
walls,I_built_obj
find 9 items of curtain walls,sentence
pick,O
every,B_quantity
items,O
of,O
shading,B_built_obj
elements,I_built_obj
pick every items of shading elements,sentence
show,O
me,O
five,B_quantity
objects,O
of,O
members,B_built_obj
show me five objects of members,sentence
highlight,O
13,B_quantity
ramps,B_built_obj
highlight 13 ramps,sentence
find,O
three,B_quantity
objects,O
of,O
piles,B_built_obj
find three objects of piles,sentence
for,O
nine,B_quantity
examples,O
of,O
facade,B_built_obj
shadings,I_built_obj
for nine examples of facade shadings,sentence
pick,O
nine,B_quantity
instances,O
of,O
beam,B_built_obj
pick nine instances of beam,sentence
show,O
me,O
each,B_quantity
stairs,B_built_obj
case,I_built_obj
show me each stairs case,sentence
find,O
13,B_quantity
instances,O
of,O
finishings,B_built_obj
find 13 instances of finishings,sentence
show,O
all,B_quantity
plate,B_built_obj
show all plate,sentence
show,O
me,O
13,B_quantity
columns,B_built_obj
show me 13 columns,sentence
find,O
13,B_quantity
beam,B_built_obj
find 13 beam,sentence
pick,O
50,B_quantity
instances,O
of,O
ramp,B_built_obj
flight,I_built_obj
pick 50 instances of ramp flight,sentence
give,O
seven,B_quantity
members,B_built_obj
give seven members,sentence
show,O
me,O
fifteen,B_quantity
plates,B_built_obj
show me fifteen plates,sentence
choose,O
1,B_quantity
items,O
of,O
footings,B_built_obj
choose 1 items of footings,sentence
five,B_quantity
shading,B_built_obj
elements,I_built_obj
five shading elements,sentence
pick,O
wall,B_built_obj
pick wall,sentence
select,O
four,B_quantity
ramp,B_built_obj
select four ramp,sentence
choose,O
6,B_quantity
stairs,B_built_obj
cases,I_built_obj
choose 6 stairs cases,sentence
find,O
25,B_quantity
wall,B_built_obj
find 25 wall,sentence
mark,O
one,B_quantity
stairs,B_built_obj
mark one stairs,sentence
mark,O
each,B_quantity
air-to-air,B_mep_obj
heat,I_mep_obj
recovery,I_mep_obj
mark each air-to-air heat recovery,sentence
pick,O
20,B_quantity
heat,B_mep_obj
exchanger,I_mep_obj
pick 20 heat exchanger,sentence
for,O
each,B_quantity
solar,B_mep_obj
devices,I_mep_obj
items,O
for each solar devices items,sentence
show,O
evaporative,B_mep_obj
cooler,I_mep_obj
show evaporative cooler,sentence
show,O
all,B_quantity
evaporator,B_mep_obj
show all evaporator,sentence
find,O
me,O
4,B_quantity
cooler,B_mep_obj
items,O
find me 4 cooler items,sentence
for,O
74,B_quantity
evaporative,B_mep_obj
cooler,I_mep_obj
items,O
for 74 evaporative cooler items,sentence
choose,O
1,B_quantity
heat,B_mep_obj
recovery,I_mep_obj
items,O
choose 1 heat recovery items,sentence
show,O
me,O
5,B_quantity
evaporative,B_mep_obj
cooler,I_mep_obj
items,O
show me 5 evaporative cooler items,sentence
find,O
20,B_quantity
solar,B_mep_obj
device,I_mep_obj
find 20 solar device,sentence
find,O
1,B_quantity
humidifier,B_mep_obj
find 1 humidifier,sentence
show,O
me,O
7,B_quantity
motor,B_mep_obj
connection,I_mep_obj
show me 7 motor connection,sentence
find,O
me,O
57,B_quantity
electric,B_mep_obj
motor,I_mep_obj
elements,O
find me 57 electric motor elements,sentence
show,O
me,O
fifteen,B_quantity
humidifiers,B_mep_obj
show me fifteen humidifiers,sentence
give,O
me,O
two,B_quantity
unitary,B_mep_obj
equipment,I_mep_obj
give me two unitary equipment,sentence
mark,O
all,B_quantity
motor,B_mep_obj
connection,I_mep_obj
mark all motor connection,sentence
pick,O
7,B_quantity
motor,B_mep_obj
connections,I_mep_obj
instances,O
pick 7 motor connections instances,sentence
find,O
me,O
three,B_quantity
tube,B_mep_obj
bundles,I_mep_obj
elements,O
